@relation FightDataForLogisticRegression2

@attribute Winner {Red,Blue,Draw}
@attribute B_avg_BODY_landed numeric
@attribute B_avg_HEAD_landed numeric
@attribute B_avg_KD numeric
@attribute B_avg_LEG_landed numeric
@attribute B_avg_PASS numeric
@attribute B_avg_REV numeric
@attribute B_avg_SUB_ATT numeric
@attribute B_avg_TD_landed numeric
@attribute B_losses numeric
@attribute B_total_title_bouts numeric
@attribute B_win_by_Decision_Majority numeric
@attribute B_win_by_Decision_Split numeric
@attribute B_win_by_Decision_Unanimous numeric
@attribute B_win_by_KO/TKO numeric
@attribute B_win_by_Submission numeric
@attribute B_win_by_TKO_Doctor_Stoppage numeric
@attribute B_Reach_cms numeric
@attribute R_avg_BODY_landed numeric
@attribute R_avg_HEAD_landed numeric
@attribute R_avg_KD numeric
@attribute R_avg_LEG_landed numeric
@attribute R_avg_PASS numeric
@attribute R_avg_REV numeric
@attribute R_avg_SUB_ATT numeric
@attribute R_avg_TD_landed numeric
@attribute R_losses numeric
@attribute R_total_title_bouts numeric
@attribute R_win_by_Decision_Majority numeric
@attribute R_win_by_Decision_Split numeric
@attribute R_win_by_Decision_Unanimous numeric
@attribute R_win_by_KO/TKO numeric
@attribute R_win_by_Submission numeric
@attribute R_win_by_TKO_Doctor_Stoppage numeric
@attribute R_Reach_cms numeric
@attribute B_age numeric
@attribute R_age numeric

@data
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,187.96,5,26,0,7,0,0,0,0,1,0,0,0,0,0,0,0,195.58,24,25
Red,9.714286,38.142857,0,1.214286,3.214286,0.071429,0.785714,2.5,4,1,0,1,3,1,4,1,195.58,10.923077,27.307692,0.192308,9.692308,1.5,0.076923,0.615385,1.730769,9,4,0,0,10,4,3,0,177.8,26,34
Blue,10,38,1,7,1,0,2,1,0,0,0,0,1,0,0,0,182.88,4.666667,15.222222,0,3.111111,2.555556,0.111111,0.666667,2.777778,3,1,0,0,2,0,4,0,200.66,30,29
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,6,8.5,0,0,0,0.5,0,0,1,0,0,0,0,1,0,0,182.88,28,29
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,5,26.7,0.6,7.1,0.8,0.1,0.6,0.6,2,0,0,0,0,5,3,0,190.5,31,27
Red,10.590909,26.863636,0.090909,6.454545,2.454545,0.045455,1.090909,3,8,0,0,2,7,3,2,0,172.72,5.73913,11.130435,0.086957,3.695652,1.347826,0.130435,1.26087,1.304348,9,0,0,0,1,0,13,0,187.96,34,29
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,180.34,3.25,19.5,0,2.25,2.25,0,0.75,1.75,1,0,0,0,0,0,3,0,177.8,27,32
Red,11,47.5,0.5,7.5,2,0,0,2.5,0,0,0,0,2,0,0,0,170.18,7,31,0,0,1.5,0,0,0.5,0,0,0,0,0,2,0,0,167.64,34,24
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,175.26,7.833333,29.333333,0.166667,7.166667,0.166667,0,0,1,3,0,0,1,1,1,0,0,185.42,23,29
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,5.75,20.25,0.25,4.875,0.75,0.375,0.25,0,3,0,0,1,1,2,1,0,187.96,25,31
Blue,2,48,0,7,5,0,1,6,0,0,0,0,1,0,0,0,182.88,8.5,17,0,21,1,0.5,1,0.5,0,1,0,2,0,0,0,0,180.34,25,27
Blue,7.952381,18.904762,0.142857,2.857143,1.714286,0.238095,0.761905,1.52381,11,1,0,1,2,3,4,0,195.58,4.25,32.333333,0,3.083333,1.666667,0,0.083333,2.833333,6,0,0,1,3,2,0,0,193.04,38,38
Red,6,48,0.5,1.5,3,0,0,2.5,0,0,0,0,0,2,0,0,187.96,5.4,17.9,0.3,5.6,1,0.1,0.6,0.7,3,0,0,0,3,1,3,0,190.5,26,34
Red,11.75,18.25,0,2.5,0.5,0,0.75,0.75,3,0,0,1,0,0,0,0,187.96,13.666667,37.666667,0,2,0.666667,0,1,0.333333,1,0,0,0,1,0,1,0,177.8,29,29
Blue,18.285714,50.071429,0.142857,4.5,2.428571,0.071429,0.357143,2.357143,4,1,0,1,5,2,2,0,157.48,8,36.375,0.25,3.25,2.5,0.125,0.75,2,2,3,0,0,2,1,3,0,165.1,27,26
Red,6.956522,18.782609,0.782609,7.782609,0.130435,0.043478,0.26087,0.130435,6,13,0,0,3,11,3,0,195.58,3.125,25.25,0.25,4,0.375,0,0,0.125,4,0,0,0,1,3,0,0,195.58,44,35
Blue,8.833333,51.166667,0.666667,12,2.333333,0.166667,0.5,2.666667,0,0,0,0,3,3,0,0,180.34,7,40.615385,0.307692,6.692308,0.923077,0,0.230769,0.923077,3,11,0,0,6,4,0,0,177.8,30,32
Blue,15,71,0,11,0,0,0,0,0,0,0,0,1,0,0,0,180.34,5.68,21.4,0.52,14.32,0.92,0.08,0.24,0.52,10,1,0,1,5,7,1,1,177.8,26,35
Red,10.125,29.75,0,10.875,0.25,0.25,0,0.375,4,1,0,2,1,1,0,0,162.56,9.5,67,0,18.75,1.5,0.75,0,0.5,2,0,0,1,1,0,0,0,172.72,35,31
Blue,8,38,0,0,5,1,1,0,0,0,0,0,1,0,0,0,200.66,5.181818,19.727273,0.363636,1.363636,0.181818,0.272727,0.181818,0.090909,5,0,0,1,1,4,0,0,190.5,27,42
Red,9,38.333333,0.333333,7.333333,0,0,0.666667,0.666667,3,0,0,0,0,0,0,0,177.8,3,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,177.8,32,24
Red,5.25,23,0.083333,1.916667,1.666667,0,0.416667,1.083333,4,1,0,2,2,1,3,0,182.88,8.333333,18.444444,0.111111,4.777778,0.777778,0,0.666667,0.888889,3,1,0,0,2,0,3,1,182.88,36,28
Blue,4.076923,17.576923,0.230769,6.5,1.961538,0.038462,0.538462,2.423077,12,0,0,3,5,2,4,0,177.8,5.923077,27.961538,0.269231,2.076923,1.692308,0.038462,0.461538,1,14,11,0,0,1,6,4,1,177.8,37,40
Red,7.5,28,0,3,0,0,0,0,2,0,0,0,0,0,0,0,165.1,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,175.26,30,25
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,170.18,2.5,54.5,0.5,1.5,2,0,0.5,2.5,0,0,0,0,0,1,1,0,170.18,22,32
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,5.333333,26,0,11.333333,3,0.666667,0.666667,2,2,0,0,0,1,0,0,0,172.72,32,32
Blue,11.133333,21.133333,0.6,11.466667,0.966667,0.1,0.366667,0.7,8,1,0,0,6,10,6,0,185.42,9.333333,37.166667,0.583333,6.583333,0.5,0,0.25,0.666667,3,2,0,1,4,4,0,0,177.8,36,32
Red,18.4,26.3,0,13.2,0.5,0.3,0,1.3,2,1,0,1,5,2,0,0,190.5,1.214286,14.071429,0.357143,3.214286,1,0,0.214286,0.928571,5,0,0,0,2,6,1,0,195.58,30,35
Blue,11.6,52.6,1,7.4,0.4,0,0.2,0.4,1,0,0,0,2,1,1,0,190.5,12.3125,37.4375,0.375,11.9375,0.875,0.0625,0.125,0.6875,6,0,0,0,6,4,0,0,177.8,28,35
Blue,7.666667,42.333333,0.333333,6.666667,1.333333,0,0,7.333333,2,0,0,0,1,0,0,0,172.72,10,41,0,22.5,1.5,0,0,1,0,1,0,0,2,0,0,0,162.56,28,27
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,198.12,5.363636,13.909091,0.545455,1.818182,0.363636,0,0.090909,0.181818,7,0,0,0,0,4,0,0,195.58,24,35
Blue,10.8,51.8,0.4,4.8,1.6,0,0,2.6,2,1,0,0,3,0,0,0,187.96,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,187.96,31,29
Red,2,19.8,0,1.4,1,0.2,0.8,0.8,3,0,0,0,1,0,1,0,170.18,10.5,13,1,1,1,0,1,0,0,1,0,0,0,1,1,0,182.88,31,27
Blue,14,52,0,8,0,0,0,0,1,0,0,0,0,0,0,0,177.8,5.5,38.5,0.5,1,0.5,0.5,0,0,1,0,0,0,1,0,0,0,172.72,28,31
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,177.8,7.9,18.5,0.2,9.3,1.1,0.1,0,1.6,4,0,0,1,3,2,0,0,187.96,29,37
