@relation FightDataForLogisticRegression2

@attribute Winner {Red,Blue,Draw}
@attribute B_avg_BODY_landed numeric
@attribute B_avg_HEAD_landed numeric
@attribute B_avg_KD numeric
@attribute B_avg_LEG_landed numeric
@attribute B_avg_PASS numeric
@attribute B_avg_REV numeric
@attribute B_avg_SUB_ATT numeric
@attribute B_avg_TD_landed numeric
@attribute B_losses numeric
@attribute B_total_title_bouts numeric
@attribute B_win_by_Decision_Majority numeric
@attribute B_win_by_Decision_Split numeric
@attribute B_win_by_Decision_Unanimous numeric
@attribute B_win_by_KO/TKO numeric
@attribute B_win_by_Submission numeric
@attribute B_win_by_TKO_Doctor_Stoppage numeric
@attribute B_Reach_cms numeric
@attribute R_avg_BODY_landed numeric
@attribute R_avg_HEAD_landed numeric
@attribute R_avg_KD numeric
@attribute R_avg_LEG_landed numeric
@attribute R_avg_PASS numeric
@attribute R_avg_REV numeric
@attribute R_avg_SUB_ATT numeric
@attribute R_avg_TD_landed numeric
@attribute R_losses numeric
@attribute R_total_title_bouts numeric
@attribute R_win_by_Decision_Majority numeric
@attribute R_win_by_Decision_Split numeric
@attribute R_win_by_Decision_Unanimous numeric
@attribute R_win_by_KO/TKO numeric
@attribute R_win_by_Submission numeric
@attribute R_win_by_TKO_Doctor_Stoppage numeric
@attribute R_Reach_cms numeric
@attribute B_age numeric
@attribute R_age numeric

@data
Blue,6,31.857143,0,10.714286,0.428571,0,0.142857,0.142857,6,0,0,0,0,0,0,1,167.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,?,31,31
Blue,12.5,42,0,10,0,0,0,0,1,0,0,0,1,0,0,0,170.18,5.333333,29,0,10.333333,0,0,0,0.333333,1,0,0,1,1,0,0,0,152.4,25,28
Red,7,6,0,11,0,0,0,2,1,0,0,0,0,0,0,0,175.26,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,175.26,28,23
Red,15.428571,22.285714,0.285714,14,0,0,0,0.285714,3,3,0,1,1,2,0,0,175.26,17,36,0.666667,8.333333,1.666667,0,0,0.666667,0,1,0,0,0,3,0,0,172.72,36,32
Red,11.352941,17,0.529412,13.235294,0.117647,0,0.058824,0.411765,4,0,1,1,5,6,0,0,190.5,3.625,39.125,0.25,2.75,4.25,0,0.5,4.875,0,0,0,0,4,2,2,0,177.8,31,29
Red,3.333333,14.333333,0.333333,3.333333,1,0,0,2.333333,0,0,0,0,1,2,0,0,185.42,5,29,0.285714,4.857143,0.142857,0.285714,0.142857,0.142857,3,0,0,0,0,3,1,0,190.5,24,27
Blue,5.5,21,0,0,3.5,0,0.5,3.75,2,2,0,0,1,0,1,0,160.02,15.333333,16.666667,0,7,2.666667,0,2.666667,1.333333,0,0,0,0,1,0,2,0,162.56,30,30
Blue,7.588235,33.882353,0.058824,4.705882,2.235294,0.117647,0.294118,2.058824,5,0,0,1,6,4,1,0,203.2,11.923077,32.846154,0.384615,13.846154,1.923077,0.461538,0.692308,0.461538,6,3,0,1,1,4,0,1,190.5,30,33
Draw,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,187.96,1,7.75,0.75,0,0,0,0,0,2,1,0,0,0,2,0,0,193.04,22,27
Red,23.333333,52.666667,0.333333,8,0.333333,0,0.333333,1.333333,1,0,0,1,1,0,0,0,177.8,1.333333,16.666667,0.222222,5,1.333333,0.222222,0.222222,1.555556,2,0,0,1,2,3,1,0,185.42,28,29
Draw,5.25,21.5,0.25,3.875,0.875,0,0.25,2.375,3,0,0,1,2,2,0,0,185.42,3.333333,27,0,5.666667,1.333333,0,0.666667,1.666667,1,0,0,0,1,0,1,0,187.96,30,24
Blue,10,22,1,11.5,3,0,1.5,1.5,0,0,0,1,0,0,1,0,167.64,8.444444,35.666667,0.111111,2.888889,3.111111,1.444444,2,1.444444,4,0,0,0,2,2,1,0,172.72,24,26
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,165.1,9.222222,31.555556,0.111111,5.888889,3.666667,0.333333,1.111111,3.888889,6,1,0,0,3,0,0,0,167.64,23,31
Blue,7.826087,23,0.217391,8.608696,1.608696,0.043478,0.608696,1.73913,7,3,0,0,9,4,3,0,177.8,9.222222,38.777778,0.5,1.888889,0.611111,0.166667,0,0.888889,5,5,0,3,4,6,0,0,187.96,33,35
Blue,15.25,34.5,1,12.5,0.75,0,0.25,2.25,1,0,0,1,2,0,0,0,177.8,5.166667,14.916667,0.166667,10.166667,0.75,0.333333,0.666667,1.083333,3,1,0,0,3,3,3,0,180.34,32,35
Red,3.4,28.2,1.4,7.4,1.6,0,0,0,1,0,0,0,0,4,0,0,180.34,3.555556,27.888889,0.666667,4.333333,0.222222,0,0,0.111111,2,0,0,0,3,4,0,0,185.42,26,31
Red,4.2,18.4,0,0.8,2.2,0.2,0.6,1.8,1,0,0,0,0,1,3,0,195.58,4.307692,29.923077,0.307692,0.230769,2.692308,0.076923,0.384615,1.461538,4,1,0,0,2,3,3,1,193.04,30,38
Blue,11.714286,27.428571,0.142857,2.142857,0.857143,0,0.285714,1,4,0,0,0,1,1,1,0,198.12,4.4,31.8,0.2,4,0.6,0,0,0.2,2,0,0,0,1,2,0,0,195.58,34,33
Red,2.666667,7.333333,0,4.666667,0,0,0,0.666667,3,0,0,0,0,0,0,0,187.96,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,190.5,26,27
Red,2,6,0,2,0,0,0,1,0,0,0,0,0,1,0,0,182.88,12.285714,30.142857,0.428571,10.285714,0.714286,0,0,0.714286,2,1,0,1,2,2,0,0,180.34,35,31
Red,9.25,26,0.25,7.5,0,0,0.25,0,1,0,0,0,1,1,1,0,187.96,9,24.285714,0.142857,9.285714,1.571429,0.142857,0,2.142857,2,0,0,1,3,1,0,0,187.96,30,36
Red,5.6,17.2,0.3,1.6,0.4,0,0.3,1.4,4,0,0,0,1,3,1,0,177.8,15.538462,29.769231,0.384615,11.769231,0,0,0,0,6,0,0,1,3,3,0,0,172.72,34,32
Red,5.25,8,0.5,3.75,0.25,0,0,0.5,3,0,0,0,0,1,0,0,198.12,7.666667,30.666667,0.333333,4,1.666667,0,0,1.333333,2,0,0,1,0,0,0,0,187.96,30,28
Red,5.214286,10.071429,0.214286,2.714286,0.785714,0.071429,0.714286,0.428571,7,0,0,0,0,2,5,0,187.96,5,19,0.428571,6.857143,0.714286,0.142857,0.142857,1.142857,4,0,0,1,0,2,0,0,185.42,33,28
Blue,7.4,31.8,0.4,0.8,0.8,0.2,1.2,0.2,1,0,0,0,0,2,2,0,175.26,12.538462,41.384615,0.461538,12.153846,1.076923,0.076923,0.153846,0.846154,3,0,0,0,6,4,0,0,177.8,26,34
Blue,10.6,17,0.2,9.2,0.2,0.2,1.4,0,2,0,0,0,1,0,2,0,180.34,4.666667,32.166667,0.166667,6.666667,0.666667,0.333333,2,1.5,2,0,0,1,1,1,1,0,180.34,29,25
Red,16.875,22.5,0,10.75,1.5,0,0.875,2,2,0,0,0,3,1,2,0,180.34,14.5,18,0,12,0,0,0.5,0.5,1,0,0,1,0,0,0,0,170.18,28,29
Red,1.5,17.5,0,2.5,1.5,0.5,1,0,1,0,0,1,0,0,0,0,177.8,11.8,45.6,0.4,8.8,2,0.6,0.4,2.2,2,0,0,0,2,0,1,0,175.26,30,34
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,1,22,1,0,2,0,0,1,0,0,0,0,0,1,0,0,190.5,29,30
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,3.25,25.5,0,16.5,0.5,0,0,0.5,3,0,0,1,0,0,0,0,182.88,23,26
Red,4,16.5,0,9.5,2,0,0.333333,2.5,3,1,0,1,1,1,0,0,167.64,6.571429,19.714286,0,10.142857,1.142857,0.428571,1,0.571429,2,1,0,1,3,0,1,0,172.72,33,33
Blue,11.5,25.5,1.5,7.5,1,0,0,0,2,0,0,0,0,0,0,0,177.8,2.5,55.5,0.5,2,0.5,0,0.5,0.5,1,0,0,0,0,0,1,0,170.18,29,31
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,165.1,1,19,0,10,1,1,0,2,1,0,0,0,0,0,0,0,180.34,25,21
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,11.833333,27.833333,0.166667,17.333333,0.666667,0.333333,0.166667,1.666667,3,0,0,1,2,0,0,0,167.64,26,37
Red,7.133333,18.6,0.2,1.466667,2.533333,0.066667,0.533333,1.066667,6,0,0,1,4,2,2,0,180.34,3,25.166667,0,10.166667,0.5,0,0.166667,0.5,2,1,0,1,1,2,0,0,170.18,37,28
Blue,7,21,0,7,0,0,0,0,1,0,0,0,0,0,0,0,177.8,13.5,28.5,0,23.5,0,0,0,0,1,0,0,0,1,0,0,0,172.72,31,31
Blue,6,34,0,1,6,0,0,5,0,0,0,0,0,1,0,0,187.96,0.5,10,0,0.5,4,0.5,0.5,2,1,0,0,0,0,0,1,0,195.58,25,30
Red,6.9,42.4,0.3,7.1,1.1,0,0.3,1.2,2,10,0,0,6,2,0,0,177.8,15.352941,47.941176,0.470588,5.117647,1,0,0.411765,0.235294,3,2,0,1,4,7,2,0,175.26,31,25
Blue,1.6,12.8,0.4,1.2,0,0,0.2,0,0,0,0,0,0,3,1,1,210.82,13.416667,15.333333,0.666667,5.583333,0.25,0,0.083333,0.25,4,1,1,0,2,5,0,0,203.2,31,37
Red,6.555556,45,0.111111,6.555556,1.555556,0.222222,0.555556,1.222222,2,0,0,0,7,0,0,0,175.26,19.285714,25,0.428571,3.571429,1,0,0.142857,1.857143,2,1,0,1,3,1,0,0,162.56,24,30
Red,6,62,0,36,0,0,0,0,0,0,0,0,0,1,0,0,177.8,9.166667,23.333333,0,4,0.333333,0,0,1.833333,3,2,0,2,0,1,0,0,175.26,29,33
Red,7.333333,12,0,7.666667,3.333333,0,2,1.666667,1,0,0,0,0,0,2,0,157.48,12.833333,34.666667,0.166667,12.833333,1.5,0,0.166667,0.666667,1,0,0,0,4,0,1,0,152.4,31,28
Blue,8.555556,21.777778,0.333333,9.333333,0.333333,0,0.333333,0.333333,3,0,0,1,1,3,1,0,177.8,6.666667,11.833333,0.111111,3.555556,1.333333,0.111111,1.277778,1.333333,8,0,0,0,1,0,9,0,187.96,33,28
Blue,7,17.3,0.7,3.6,0.3,0.1,0.4,0,5,0,0,1,0,1,3,0,190.5,6,12.8,0.3,4.3,1.4,0,0.6,2.1,3,0,0,0,2,3,2,0,193.04,30,29
Red,32,29,0,7,0,0,0,2,0,0,0,0,1,0,0,0,177.8,9.666667,23.666667,0.666667,18,0,0,0,1,0,0,0,0,1,2,0,0,185.42,29,28
Red,4.666667,35.666667,0,9.666667,0.666667,0.166667,0.166667,0.333333,3,0,0,0,1,1,1,0,170.18,9.4,20.2,0,1.6,5.6,0.6,1.2,1.2,1,0,0,0,2,0,2,0,165.1,30,33
Red,6.5,5,0,11,0,0,0.5,0.5,2,0,0,0,0,0,0,0,165.1,2.666667,22.333333,0,0.666667,1.666667,0.333333,1,0.666667,2,1,0,0,1,0,0,0,162.56,34,26
Blue,1.5,24.5,1.5,1.5,0,0.5,0,0,1,0,0,0,0,1,0,0,185.42,4,25,0,4,0,0,0,2,1,0,0,0,0,0,0,0,182.88,32,29
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,195.58,1,8,0.5,2,0,0,0,0,1,0,0,0,0,1,0,0,182.88,27,26
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,193.04,7,40,0,5,2,0,0,3,0,0,0,0,1,0,0,0,198.12,28,30
Red,12,22,0,8,0,0,0,0,1,0,0,0,0,0,0,0,175.26,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,165.1,35,28
Red,12,41,0,7,0,0,0,0,1,0,0,0,0,0,0,0,180.34,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,31,23
Blue,5.5,35.5,0,15.75,0.5,0,0,1,3,0,0,0,0,1,0,0,170.18,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,165.1,34,38
Blue,1,9.333333,0,0.333333,0.666667,0,0.666667,1,1,0,0,0,0,0,2,0,195.58,0.666667,3.333333,0,0.333333,0.666667,0,0.666667,0.666667,1,0,0,0,0,0,2,0,185.42,29,31
Draw,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,167.64,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,30,33
Blue,2.5,48.5,0,1.5,2.5,0,0.5,7,0,0,0,0,2,0,0,0,180.34,2.833333,32.333333,0,4.333333,1.666667,0,1.5,0.666667,3,1,0,0,1,0,2,0,165.1,25,30
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,175.26,22,32
Blue,12,38.666667,0,5.333333,0.666667,0.333333,0,0.333333,2,0,0,0,1,0,0,0,193.04,9,41.666667,0,5.333333,2.666667,0,0,3.333333,1,1,0,0,2,0,0,0,187.96,36,29
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,157.48,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,160.02,26,28
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,175.26,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,167.64,28,27
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,160.02,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,160.02,26,22
Blue,8.5,32.75,0.583333,6.25,1.333333,0.416667,0.166667,0.75,4,1,0,2,2,2,2,0,180.34,6.928571,40.25,0.285714,8.535714,0.535714,0.071429,0.178571,0.928571,8,4,0,2,8,10,0,0,190.5,26,38
Red,9.333333,27.333333,0,12,0.333333,0.333333,0.333333,0.666667,1,0,0,2,0,0,0,0,182.88,3,28.166667,0.5,8.666667,1,0.166667,0,1,2,0,0,1,0,3,0,0,180.34,30,29
Red,10.352941,29.705882,0.176471,6.352941,1.176471,0.588235,0.764706,0.529412,9,0,0,2,3,0,2,1,185.42,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,180.34,29,31
Blue,2.428571,21,0.428571,0.571429,1.714286,0.142857,0,2.857143,3,0,0,1,1,2,0,0,182.88,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,177.8,30,33
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,8,34,0,3,2,2,2,1,0,0,0,0,0,0,1,0,185.42,27,26
Red,4,20,0.5,8,1,0,1,1.5,2,0,0,0,0,0,0,0,187.96,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,180.34,27,27
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,160.02,11.666667,28,0,5,1.5,0.166667,0.5,1.5,5,0,0,0,0,0,1,0,165.1,28,26
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,170.18,30,19
Blue,4.25,20,0,9,1,0,0.25,1.25,2,0,0,1,1,0,0,0,193.04,12,40,0.25,21.25,0.25,0,0,0,2,0,0,0,1,1,0,0,198.12,36,28
Blue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,172.72,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,167.64,29,21
Blue,10,19.5,0,4.5,0.5,0,0,0.5,2,0,0,0,0,0,0,0,175.26,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,175.26,27,28
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,1.333333,10,0,0,0.666667,0,0,0.333333,2,0,0,0,0,1,0,0,187.96,22,31
Red,7,32,0.25,2,2.5,0,0,1,1,0,0,0,1,2,0,0,198.12,7.785714,29,0.285714,8.214286,1.214286,0,0.285714,0.571429,4,3,0,0,3,4,3,0,195.58,32,40
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,162.56,9.2,31.8,0,4,0.6,0,0.2,0.4,3,0,0,0,1,0,1,0,162.56,29,28
Blue,5,36.2,0,11.2,2,0,0,2.2,2,0,0,0,2,1,0,0,182.88,11.266667,26.4,0.4,4.533333,0.533333,0.133333,0.133333,0.533333,6,0,0,1,3,4,1,0,190.5,29,33
Red,5.4,14.6,0.2,14.2,0.6,0.2,0.4,0.6,3,0,0,0,1,1,0,0,193.04,4,22.714286,0,4,0.857143,0,0.571429,1.428571,3,0,0,0,0,0,3,1,185.42,28,23
Red,2,33.125,0,2.625,1.875,0,0.125,1.25,2,0,0,1,3,1,1,0,177.8,12.428571,20.857143,0,8.428571,0.714286,0.285714,0,1.857143,2,1,0,0,3,2,0,0,190.5,40,29
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,5.5,51,0.5,12,0.5,0.5,0,3.5,0,0,0,0,1,1,0,0,180.34,24,29
Red,2,2,0,8,0,0,0,1,1,0,0,0,0,0,0,0,170.18,2.8,15.4,0.6,2,0.6,0.4,0.2,0.2,3,0,0,1,0,1,0,0,172.72,32,28
Red,14.333333,13,0,6,1.666667,0,0,1.666667,2,0,0,0,1,0,0,0,182.88,10.055556,24.388889,0.055556,5.833333,2.666667,0,1.166667,3.277778,7,0,0,2,6,2,1,0,172.72,31,33
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,190.5,3,32,0,1,0,0,0,0,1,0,0,0,0,0,0,0,193.04,24,35
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,185.42,1.75,17.75,0.5,3.5,0.75,0,0.5,0.25,2,0,0,1,0,1,0,0,172.72,28,32
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,167.64,6.333333,15.333333,0,7,0.333333,0,1,1,2,0,0,0,0,0,1,0,160.02,22,39
Blue,3,28.5,0,0,0,0,0.5,2.5,2,0,0,0,0,0,0,0,172.72,2.5,30,1,0.5,0,0,0.5,0.5,1,0,0,0,1,0,0,0,172.72,26,29
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,205.74,14.444444,7.888889,0.111111,1.444444,0.555556,0,0,1,6,0,0,0,1,2,0,0,193.04,25,37
Red,8.25,24.333333,0.166667,4.5,1,0.5,0.333333,0.583333,5,4,0,1,1,2,3,0,182.88,4.277778,34.5,0.555556,6.722222,0.666667,0.222222,0.611111,1.055556,5,0,1,0,4,5,3,0,182.88,30,28
Red,8.038462,24.346154,0.230769,1.730769,1.423077,0.115385,0.692308,1.076923,10,2,0,3,8,5,0,0,182.88,10.217391,21.826087,0.347826,3.217391,0.695652,0.173913,1.043478,1,10,0,0,0,2,9,2,0,190.5,35,36
Blue,2.652174,13.173913,0.434783,5.826087,0.173913,0,0.217391,0.130435,9,5,0,1,2,9,2,0,195.58,9,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,187.96,38,26
Blue,4.454545,9.545455,0.181818,2.363636,1.272727,0,0.363636,1.727273,4,1,0,1,4,0,2,0,198.12,4.833333,14.666667,0.458333,5.458333,0.958333,0.125,0.583333,1.375,11,1,0,0,4,6,3,0,187.96,32,38
Red,4,23.333333,0,1.666667,1.333333,0.666667,1,2.333333,1,0,0,0,1,1,0,0,175.26,7,25.090909,0.090909,14.545455,0.636364,0,0.181818,1,2,0,0,3,4,1,1,0,167.64,30,35
Blue,4.25,18.041667,0.208333,6.833333,2.125,0.041667,0.583333,2.625,11,0,0,3,5,1,4,0,177.8,2,19.666667,0.125,0.458333,2.791667,0.333333,1.208333,1.375,10,0,0,1,1,4,7,1,180.34,35,33
Blue,14,15,0,15,0,0,0,0,1,0,0,0,0,0,0,0,170.18,13.545455,23.818182,0.727273,6.818182,0.181818,0,0,0.636364,3,3,0,0,3,4,0,1,167.64,29,33
Red,8,39,0,5.5,0.5,0,0,0.5,0,0,0,1,1,0,0,0,160.02,1,15,0,0,0,0,1,3,0,1,0,0,0,0,1,0,167.64,24,26
Red,4,6,0,6,0,0,0,0,1,0,0,0,0,0,0,0,185.42,3,15.6,0.2,1.6,1.4,0.2,0.4,0.8,2,0,0,0,1,1,1,0,180.34,32,21
Blue,13.333333,31,0,10,2.333333,0.333333,1.333333,0.666667,2,0,0,0,0,0,1,0,162.56,14,34.6,0.4,7.8,0,0.2,0,0.2,3,0,0,0,2,0,0,0,162.56,31,32
Blue,4.142857,42.142857,0.285714,6.142857,0.857143,0,0.428571,1.142857,2,0,0,2,1,1,1,0,193.04,12.833333,38.583333,0,13.583333,1.416667,0,0.5,1.916667,5,1,0,1,4,0,2,0,190.5,26,32
Red,8.5,19.5,0.5,6,0,0,0,0,1,0,0,0,0,1,0,0,187.96,9.6,18.6,0.4,5.2,1.2,0,0.4,0.6,3,0,0,1,0,1,0,0,198.12,32,29
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,187.96,4,9.5,0,5.5,0,0,0,1,2,0,0,0,0,0,0,0,187.96,27,26
Blue,11.428571,38.52381,0.380952,9.761905,5.571429,0.238095,1.095238,4.142857,2,14,0,2,10,5,2,0,193.04,7.148148,41,0.296296,8.62963,0.555556,0.074074,0.185185,0.962963,7,3,0,2,8,10,0,0,190.5,36,38
Blue,11.153846,49,0.384615,12.076923,2.153846,0,0.923077,1.615385,3,5,0,0,4,5,1,0,170.18,3.5,30.333333,1.333333,3.666667,0.5,0,0,0.833333,0,1,0,0,2,4,0,0,165.1,31,26
Blue,8.166667,32,0.166667,3.333333,3.333333,0.166667,1,2.5,2,1,0,0,1,0,3,0,165.1,30.125,68.5,0.125,33.25,0,0,0,0.25,0,6,0,1,5,2,0,0,165.1,25,30
Red,13.5,35.642857,0.357143,6.214286,0.857143,0.071429,0.5,1.071429,5,0,0,0,5,3,1,0,187.96,11.545455,31,0.727273,5.545455,0.454545,0.090909,0,0.454545,3,2,0,0,3,5,0,0,190.5,32,34
Blue,10.5,21,0.5,1,0,0,0,0,0,0,0,0,0,2,0,0,182.88,3.75,28.7,0.3,10.45,1,0,0.3,3.05,7,3,1,2,5,5,0,0,175.26,26,34
Red,4.2,17.4,0.4,1.2,0.8,0.2,0.6,0,1,0,0,0,1,1,2,0,185.42,5.75,25.25,0.25,3.375,0.375,0.25,0.625,0.125,1,0,0,0,3,1,3,0,193.04,29,30
Blue,14.5,26,0,8,0,0,0,0,1,0,0,0,1,0,0,0,195.58,4.75,13,0.625,2,0,0,0.125,0,5,0,0,0,0,3,0,0,195.58,33,34
Red,7.777778,44.222222,0,4.222222,2.333333,0,0,3.222222,3,1,0,0,4,2,0,0,200.66,5.285714,18.357143,0.142857,2.571429,1,0.071429,0.285714,0.642857,5,1,1,0,1,4,3,0,203.2,28,34
Red,0,10,0.666667,0.333333,2.666667,0,2,1,0,0,0,0,0,0,3,0,187.96,5.8,22.4,0.2,4.6,0.2,0.2,0.6,0.6,2,0,0,0,1,1,1,0,198.12,25,27
Blue,8,27,0,8.25,1.25,0,0,3.75,2,0,0,0,1,1,0,0,203.2,4.8,12.4,0.4,1,1.8,0.2,1.2,1.6,1,0,0,0,0,1,3,0,203.2,26,40
Blue,14,27,1,4,3,0,1,0,0,0,0,0,1,0,0,0,182.88,3,39,1,2,1,0,0,0,0,0,0,0,1,0,0,0,172.72,22,29
Red,7.857143,16.095238,0.619048,6.52381,1.904762,0.095238,0.380952,0.666667,7,5,0,1,6,6,1,0,187.96,1.363636,16.545455,0.363636,3.727273,1.272727,0,0.272727,1.181818,3,0,0,0,2,5,1,0,195.58,39,33
Blue,5.25,19.625,0.125,3.875,4.875,0,0.25,5.125,1,0,0,0,3,2,2,0,182.88,3.153846,16.961538,0.038462,1.5,3.423077,0.192308,0.923077,2.307692,7,2,0,1,8,1,9,0,182.88,29,39
Red,8.6,26.6,0.6,4.8,0.6,0,0.8,0.8,1,0,0,0,0,3,1,0,180.34,6.571429,17.142857,0,9.428571,0.142857,0,0.857143,0.857143,3,0,0,0,1,1,2,0,165.1,30,31
Red,6.481481,18.111111,0.111111,6,1.518519,0.185185,1.444444,1.222222,10,0,0,2,6,3,6,0,180.34,9.6,22.666667,0.2,4.8,0.933333,0.066667,0.4,0.8,4,0,0,1,5,2,2,1,177.8,34,39
Red,6,25,0,9.75,1.25,0,0,0.75,1,0,0,0,1,2,0,0,195.58,4.090909,11.363636,0.545455,6,0.272727,0,0,0.181818,4,0,0,0,1,6,0,0,193.04,29,33
Red,7.333333,17.833333,0.333333,5,1.666667,0,1.333333,0.5,2,0,0,0,1,1,2,0,177.8,19.769231,31.307692,0.769231,4.692308,0.307692,0.076923,0.461538,0.461538,3,0,0,1,3,5,1,0,170.18,24,27
Red,2.666667,7,0.666667,3.333333,1,0,0.666667,0.333333,1,0,0,0,0,1,1,0,193.04,4.5,10.333333,0.333333,3.333333,1.166667,0,0.5,1,2,0,0,0,0,2,2,0,190.5,28,25
Red,6,31.333333,1,3.666667,0,0,0,0,1,0,0,0,1,1,0,0,185.42,5.428571,15,0,3.142857,2.714286,0.142857,0.571429,3.285714,3,1,0,0,2,0,2,0,200.66,27,27
Blue,5,54,0,8,5,0,0,4,0,0,0,0,0,1,0,0,172.72,4,20.428571,0,6.571429,2.285714,0,0.428571,2.857143,4,0,0,1,2,0,0,0,175.26,29,33
Red,1.5,11.5,0,1,0,0.5,0.5,0,1,0,0,0,0,1,0,0,193.04,12.5,41.75,0,7.25,1,0.5,0.75,0.5,1,0,0,1,1,1,0,0,185.42,31,30
Red,7,15,0,5,1,0,1,5,0,0,0,1,0,0,0,0,157.48,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,24,29
Red,10,25,0,4.5,0,0,0,0,2,0,0,0,0,0,0,0,203.2,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,190.5,37,25
Blue,5.25,28,0.5,5.25,0.25,0,0,0.75,1,0,0,0,2,1,0,0,187.96,10.64,21.56,0.56,12.64,1.04,0.08,0.4,0.72,6,1,0,0,6,8,5,0,185.42,24,34
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,162.56,14.8,42.6,0,8.2,1,0,0,0,2,1,0,1,2,0,0,0,162.56,31,32
Red,10,28,0.333333,5,3,0,0.333333,2,1,0,0,0,2,0,0,0,190.5,11.333333,29.666667,0.166667,1.666667,0.833333,0,0.166667,1,4,0,0,0,1,1,0,0,198.12,27,34
Red,6.333333,26,0.666667,1,0,0,0,0.333333,2,0,0,0,0,1,0,0,190.5,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,193.04,30,27
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,1,26.666667,0,0.333333,5,0,0.666667,3,3,0,0,0,0,0,0,0,180.34,22,25
Blue,2.5,1.5,0,2,0,0,0.5,0.5,1,0,0,0,0,0,1,0,167.64,3.25,12.75,0,1.5,2.5,0.5,0.75,2.25,2,0,0,0,0,0,2,0,177.8,31,27
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,193.04,6.333333,20.5,0.333333,3.25,0.166667,0,0.083333,0,4,0,0,1,2,4,1,0,190.5,30,31
Blue,6.75,23.375,0.25,5.75,0.875,0.375,0.125,1.5,4,0,0,0,2,2,0,0,187.96,9,31.4,0,16.2,0.4,0,0,0.6,3,1,0,0,2,0,0,0,165.1,27,31
Blue,8,20.666667,0.166667,2.833333,1.166667,0,1,0.833333,2,1,0,0,1,0,3,0,182.88,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,26,28
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,167.64,18.5,22,0,6.5,0,0,0,0.5,1,0,0,0,1,0,0,0,165.1,22,35
